DB_ID,INDEX
DB00959,1318
DB00960,1135
DB00961,1433
DB00962,840
DB00964,14
DB00966,160
DB00968,835
DB00969,152
DB00970,211
DB00972,213
DB00973,212
DB00974,36
DB00975,1214
DB00976,210
DB00977,208
DB00978,196
DB00979,194
DB00980,218
DB00981,219
DB00982,220
DB00983,221
DB00984,214
DB00985,215
DB00986,216
DB00987,217
DB00988,222
DB00989,223
DB00990,90
DB00991,89
DB00993,88
DB00994,87
DB00996,86
DB00997,85
DB00998,92
DB00999,91
DB01000,17
DB01001,18
DB01002,637
DB01004,1468
DB01005,20
DB01006,19
DB01008,168
DB01009,173
DB01010,115
DB01011,113
DB01012,126
DB01014,1019
DB01015,1395
DB01016,1396
DB01017,106
DB01018,195
DB01020,1275
DB01021,42
DB01022,1147
DB01023,1152
DB01024,1276
DB01026,1277
DB01028,362
DB01029,1274
DB01030,1178
DB01033,1134
DB01035,1179
DB01037,1246
DB01039,1177
DB01041,537
DB01042,1091
DB01043,1092
DB01044,1090
DB01045,535
DB01046,1088
DB01048,1086
DB01049,1087
DB01050,997
DB01053,998
DB01058,1000
DB01059,1446
DB01060,910
DB01061,911
DB01062,912
DB01065,758
DB01066,908
DB01067,909
DB01068,917
DB01069,918
DB01070,811
DB01072,810
DB01074,809
DB01075,808
DB01076,807
DB01077,806
DB01078,817
DB01079,816
DB01080,1418
DB01081,345
DB01082,716
DB01083,720
DB01085,742
DB01086,897
DB01088,889
DB01089,890
DB01090,797
DB01093,798
DB01095,795
DB01096,760
DB01097,796
DB01098,67
DB01099,793
DB01100,134
DB01101,133
DB01103,132
DB01104,138
DB01105,137
DB01106,136
DB01107,135
DB01108,131
DB01109,130
DB01110,256
DB01111,257
DB01112,258
DB01114,259
DB01115,260
DB01117,261
DB01118,253
DB01119,254
DB01120,652
DB01121,378
DB01122,380
DB01124,376
DB01126,377
DB01128,386
DB01129,655
DB01131,487
DB01132,1224
DB01133,1225
DB01134,490
DB01135,491
DB01136,488
DB01137,489
DB01138,494
DB01139,495
DB01140,1191
DB01141,1190
DB01142,1189
DB01143,1188
DB01147,1187
DB01149,1196
DB01150,1290
DB01151,1291
DB01154,1287
DB01155,336
DB01156,337
DB01157,1289
DB01158,1294
DB01159,70
DB01160,1380
DB01161,1379
DB01162,1381
DB01164,1383
DB01165,1382
DB01166,1385
DB01167,1384
DB01168,1386
DB01169,974
DB01170,11
DB01171,12
DB01172,9
DB01173,10
DB01174,7
DB01175,8
DB01176,6
DB01178,5
DB01181,1354
DB01182,1007
DB01183,1006
DB01184,1011
DB01185,1010
DB01186,1009
DB01189,1012
DB01190,1095
DB01191,1096
DB01192,1097
DB01193,1098
DB01195,557
DB01197,1099
DB01198,1100
DB01200,1263
DB01201,1264
DB01202,1265
DB01203,1266
DB01204,239
DB01205,1268
DB01206,1269
DB01208,1270
DB01209,243
DB01211,1170
DB01213,1169
DB01215,1173
DB01216,1172
DB01217,1171
DB01218,1175
DB01219,1174
DB01220,1472
DB01221,1473
DB01222,670
DB01224,1474
DB01225,1475
DB01226,684
DB01227,1459
DB01229,1469
DB01232,1367
DB01233,333
DB01234,1365
DB01235,79
DB01236,1366
DB01238,1364
DB01239,1363
DB01240,905
DB01241,906
DB01242,907
DB01244,901
DB01245,902
DB01246,903
DB01247,904
DB01248,899
DB01249,900
DB01250,805
DB01253,804
DB01254,803
DB01255,802
DB01256,801
DB01259,800
DB01261,1081
DB01262,1079
DB01263,1080
DB01264,1078
DB01265,465
DB01267,1077
DB01268,1133
DB01269,484
DB01270,992
DB01273,993
DB01274,995
DB01275,994
DB01276,996
DB01277,1337
DB01278,991
DB01280,449
DB01281,450
DB01283,451
DB01288,1065
DB01291,347
DB01294,350
DB01296,349
DB01297,348
DB01303,1377
DB01306,1378
DB01307,1247
DB01309,1375
DB01319,2
DB01320,1163
DB01326,1159
DB01327,1185
DB01328,1184
DB01329,1183
